name;n;m;lb;ub;bbnodes;valid;time
handsi10-r0-d1.00-a0.25;39600;157408;1716.098225;1716.098225;0;1;1496.293
handsi10-r0-d1.00-a0.50;39600;157408;1613.759934;1624.978109;0;1;3665.637
handsi10-r1-d0.25-a0.10;39600;98380;1835.732238;1835.732238;0;1;223.974
handsi10-r1-d0.25-a0.25;39600;98380;1835.732238;1835.732238;0;1;213.825
handsi10-r1-d0.25-a0.50;39600;98380;1835.732238;1835.732238;0;1;401.840
handsi10-r1-d0.50-a0.10;39600;118056;1835.732241;1835.732241;0;1;490.497
handsi10-r1-d0.50-a0.25;39600;118056;1835.732241;1835.732241;0;1;736.931
handsi10-r1-d0.50-a0.50;39600;118056;1835.732241;1835.732241;0;1;3463.313
handsi10-r1-d0.75-a0.10;39600;137732;1832.694784;1832.694784;0;1;1344.490
handsi10-r1-d0.75-a0.25;39600;137732;1826.105617;1826.105617;0;1;3324.790
handsi10-r1-d0.75-a0.50;39600;137732;1745.528437;1780.797124;0;1;3600.855
handsi10-r1-d1.00-a0.10;39600;157408;1772.784975;1772.784975;0;1;1121.552
handsi10-r1-d1.00-a0.25;39600;157408;1720.354858;1720.354858;0;1;1226.154
handsi10-r1-d1.00-a0.50;39600;157408;1620.443075;1625.523985;0;1;3601.090
HCMVpc-r0-d0.25-a0.10;3863;36616;7371.498251;7371.498251;0;1;20.722
HCMVpc-r0-d0.25-a0.25;3863;36616;7355.401952;7355.401952;0;1;16.649
HCMVpc-r0-d0.25-a0.50;3863;36616;7211.748593;7211.748593;0;1;66.339
HCMVpc-r0-d0.50-a0.10;3863;43939;7370.708789;7370.708789;0;1;35.878
