name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
handbd12;HAND_BIG_DIMACS;0;0;169800;677102;16427;8855;0;161303;646042;358;358;0;0.780;321.204744;321.204744;0.000000;358;1;0;0.000;0.000;0.000;0.000;0.000;0.759;0;321.204744;321.204744;0.000000;231;60380;8497;210;59;325;1682882;160861;11.810;2.960;2.074;17.767;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd13;HAND_BIG_DIMACS;0;0;169800;677102;158381;2880;0;169387;676098;2467;2467;0;0.186;13.131378;13.187615;0.426438;2467;2356;7;112922.143;448105.857;1719.000;1719.000;1.000;136.917;944;13.131378;13.187615;0.426438;71604;1050106;923;1683;695;260555;1225317;12659571;46.030;10.307;52.689;3604.856;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbd14;HAND_BIG_DIMACS;0;0;169800;677102;16371;149;0;169652;676534;1;1;0;0.101;4379.104236;4379.104236;0.000000;1;1;0;0.000;0.000;0.000;0.000;0.000;0.005;0;4379.104236;4379.104236;0.000000;0;0;148;0;0;0;339302;0;0.281;0.005;0.991;1.223;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbi01;HAND_BIG_ICERM;0;0;158400;631616;157385;1776;0;157159;627564;535;535;0;0.232;1358.563381;1358.563381;0.000000;535;494;0;0.000;0.000;0.000;0.000;0.000;33.611;0;1358.563381;1358.563381;0.000000;461;429890;1242;125;90;1923;1289592;156348;87.381;0.004;24.532;122.225;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbi02;HAND_BIG_ICERM;0;0;158400;631616;8589;6960;0;152129;610262;689;689;0;0.539;531.752192;531.879002;0.023842;689;1;1;11015.000;29323.000;239.000;239.000;450.000;3.256;105;531.810883;531.810883;0.000000;20519;210277;7718;6241;4909;10068;1349167;180559;31.764;3.613;49.803;50.837;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbi03;HAND_BIG_ICERM;0;0;158400;631616;154148;1935;0;157883;630212;1418;1418;0;0.178;243.134201;243.134201;0.000000;1418;1405;0;0.000;0.000;0.000;0.000;0.000;5.203;0;243.134201;243.134201;0.000000;115;38188;517;33;23;1260;1692087;156414;5.916;0.045;2.117;12.301;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbi04;HAND_BIG_ICERM;0;0;158400;631616;16288;5229;0;154401;617972;1230;1230;0;0.367;3200.794028;3202.738665;0.060718;1230;13;1;28593.000;104737.000;666.000;666.000;162.000;15.993;34257;3200.794028;3202.710021;0.059824;1884604;10649380;250619;797799;561142;3003679;1382794;11425923;161.532;3.882;3256.196;3600.347;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbi05;HAND_BIG_ICERM;0;0;158400;631616;155695;2290;0;157908;630366;1798;1798;0;0.169;184.467331;184.467331;0.000000;1798;1786;0;0.000;0.000;0.000;0.000;0.000;5.634;0;184.467331;184.467331;0.000000;71;56433;502;12;14;323;1672306;0;6.124;0.005;1.425;12.862;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbi06;HAND_BIG_ICERM;0;0;158400;631616;16002;5757;0;153649;615078;1006;1006;0;0.419;2920.838344;2922.363396;0.052186;1006;5;1;21829.000;78282.000;493.000;493.000;160.000;8.818;716;2921.544716;2921.544716;0.000000;75135;495147;11538;18990;14251;94918;1353899;347931;75.287;4.565;161.099;161.697;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
handbi07;HAND_BIG_ICERM;0;0;158400;631616;155449;2256;0;157882;630324;1738;1738;0;0.168;150.974210;150.974258;0.000032;1738;1725;1;122.000;388.000;13.000;13.000;1.000;7.407;3;150.974258;150.974258;0.000000;101;57645;518;10;11;1477;1671911;155994;5.285;0.005;8.307;13.889;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
